filename,width,height,class,xmin,ymin,xmax,ymax
ba_458.png,448,448,ba,56,42,176,157
ba_462.png,448,448,ba,42,48,199,181
ba_219.png,448,448,ba,42,32,195,177
ba_600.png,448,448,ba,60,32,229,136
ba_448.png,448,448,ba,95,39,254,115
ba_1.png,448,448,ba,33,27,199,194
ba_454.png,448,448,ba,19,12,206,162
ba_685.png,448,448,ba,32,33,183,201
ba_324.png,448,448,ba,48,57,179,175
ba_372.png,448,448,ba,46,56,181,172
ba_188.png,448,448,ba,31,30,188,180
ba_156.png,448,448,ba,52,38,202,187
ba_761.png,448,448,ba,37,46,194,189
ba_260.png,448,448,ba,44,28,216,194
ba_725.png,448,448,ba,20,22,196,172
ba_745.png,448,448,ba,38,37,183,181
ba_197.png,448,448,ba,27,36,179,223
ba_742.png,448,448,ba,18,10,201,195
ba_723.png,448,448,ba,19,30,201,207
ba_388.png,448,448,ba,8,13,223,204
ba_155.png,448,448,ba,22,19,209,194
ba_106.png,448,448,ba,28,24,203,199
ba_357.png,448,448,ba,38,54,180,200
ba_759.png,448,448,ba,48,51,187,184
ba_571.png,448,448,ba,52,36,213,181
ba_365.png,448,448,ba,30,27,186,189
ba_612.png,448,448,ba,41,32,197,205
ba_136.png,448,448,ba,39,37,195,173
ba_192.png,448,448,ba,52,38,212,178
ba_383.png,448,448,ba,52,32,211,170
ba_165.png,448,448,ba,21,13,207,214
ba_345.png,448,448,ba,24,34,195,201
ba_214.png,448,448,ba,27,36,189,188
ba_178.png,448,448,ba,54,38,212,179
ba_674.png,448,448,ba,16,16,194,185
ba_51.png,448,448,ba,38,38,189,173
ba_299.png,448,448,ba,42,55,173,199
ba_619.png,448,448,ba,25,23,185,201
ba_283.png,448,448,ba,39,39,189,172
ba_73.png,448,448,ba,29,42,181,177
ba_183.png,448,448,ba,38,27,200,161
ba_105.png,448,448,ba,55,48,218,141
ba_103.png,448,448,ba,10,14,200,211
ba_616.png,448,448,ba,15,11,198,203
ba_770.png,448,448,ba,37,32,196,179
ba_36.png,448,448,ba,35,43,195,173
ba_755.png,448,448,ba,23,18,191,174
ba_46.png,448,448,ba,24,31,198,192
ba_797.png,448,448,ba,30,29,185,169
ba_140.png,448,448,ba,87,39,225,131
ba_225.png,448,448,ba,28,21,196,198
ba_654.png,448,448,ba,32,62,202,190
ba_222.png,448,448,ba,42,52,186,187
ba_651.png,448,448,ba,62,27,255,135
ba_637.png,448,448,ba,29,38,211,172
ba_85.png,448,448,ba,27,29,178,188
ba_670.png,448,448,ba,39,18,223,197
